anio,n,entidad,agegrp,women,child_born_13 ,child_born,child_dead_13,child_dead
2020,13,Hidalgo,35-39,119510,264164,261760,,7766
2020,13,Hidalgo,40-44,113266,279930,274780,,9667
2020,13,Hidalgo,45-49,103315,278419,269117,,11666
2020,14,Jalisco,15-19,352747,36948,36807,,890
2020,14,Jalisco,20-24,351876,203946,203526,,4963
2020,14,Jalisco,25-29,336839,399848,398718,,10215
2020,14,Jalisco,30-34,325693,563653,559911,,14655
2020,14,Jalisco,35-39,307225,664627,655489,,19851
2020,14,Jalisco,40-44,283259,697416,681802,,24250
2020,14,Jalisco,45-49,263023,700236,676960,,28664
2020,15,Mexico,15-19,725476,72877,72594,,1914
2020,15,Mexico,20-24,707323,408189,407497,,10608
2020,15,Mexico,25-29,697775,816878,815726,,22034
2020,15,Mexico,30-34,666773,1115104,1110960,,32232
2020,15,Mexico,35-39,656345,1338593,1326604,,42534
2020,15,Mexico,40-44,632325,1447183,1423398,,54400
2020,15,Mexico,45-49,602436,1482031,1443601,,65034
2020,16,Michoacan de Ocampo,15-19,202365,29093,29039,,648
2020,16,Michoacan de Ocampo,20-24,197968,138373,138170,,3149
2020,16,Michoacan de Ocampo,25-29,191015,257774,257248,,6007
2020,16,Michoacan de Ocampo,30-34,182208,344578,342130,,8618
2020,16,Michoacan de Ocampo,35-39,166731,389048,382324,,11614
2020,16,Michoacan de Ocampo,40-44,156595,411298,398188,,15214
2020,16,Michoacan de Ocampo,45-49,141070,406918,385449,,18474
2020,17,Morelos,15-19,81946,9039,8998,,213
2020,17,Morelos,20-24,82512,47948,47899,,1090
2020,17,Morelos,25-29,79927,94529,94409,,2219
2020,17,Morelos,30-34,75371,128011,127527,,3237
2020,17,Morelos,35-39,72195,150388,148948,,4357
2020,17,Morelos,40-44,69778,163133,160127,,5587
2020,17,Morelos,45-49,66303,167040,162062,,7118
2020,18,Nayarit,15-19,51295,6767,6731,,149
2020,18,Nayarit,20-24,48901,34153,34097,,764
2020,18,Nayarit,25-29,47267,67221,67031,,1544
2020,18,Nayarit,30-34,46553,91711,90954,,2307
2020,18,Nayarit,35-39,43596,104000,102083,,2959
2020,18,Nayarit,40-44,41361,109148,105925,,3874
2020,18,Nayarit,45-49,37823,105107,101293,,4677
2020,19,Nuevo Leon,15-19,230719,24624,24508,,573
2020,19,Nuevo Leon,20-24,247482,140986,140670,,3300
2020,19,Nuevo Leon,25-29,239140,274832,274426,,6465
2020,19,Nuevo Leon,30-34,220910,371463,370330,,8981
2020,19,Nuevo Leon,35-39,210075,439181,437008,,11876
2020,19,Nuevo Leon,40-44,204006,466577,463163,,13854
2020,19,Nuevo Leon,45-49,193124,465032,460536,,15874
2020,20,Oaxaca,15-19,179439,22910,22880,,321
2020,20,Oaxaca,20-24,162984,113838,113756,,1885
2020,20,Oaxaca,25-29,165622,222446,221906,,3830
2020,20,Oaxaca,30-34,156261,297532,294199,,6156
2020,20,Oaxaca,35-39,148538,353762,343520,,9195
2020,20,Oaxaca,40-44,139036,379062,358963,,13375
2020,20,Oaxaca,45-49,125185,382677,351764,,17619
2020,21,Puebla,15-19,301016,39237,39123,,800
2020,21,Puebla,20-24,291055,194206,193898,,4288
2020,21,Puebla,25-29,276217,360486,359856,,8408
2020,21,Puebla,30-34,254559,475657,472235,,13170
2020,21,Puebla,35-39,245227,563943,553796,,17831
2020,21,Puebla,40-44,228416,591971,571770,,23333
2020,21,Puebla,45-49,204533,583970,551257,,29234
2020,22,Queretaro,15-19,98183,9182,9141,,228
2020,22,Queretaro,20-24,104529,52936,52869,,1300
2020,22,Queretaro,25-29,108495,111563,111409,,2765
2020,22,Queretaro,30-34,100195,155350,154775,,3957
2020,22,Queretaro,35-39,94700,189650,187683,,5649
2020,22,Queretaro,40-44,86331,199170,194979,,7049
2020,22,Queretaro,45-49,77937,198682,191238,,8239
2020,23,Quintana Roo,15-19,72812,8447,8418,,217
2020,23,Quintana Roo,20-24,81617,50586,50506,,1246
2020,23,Quintana Roo,25-29,91219,102984,102792,,2636
2020,23,Quintana Roo,30-34,86866,139002,138214,,3793
2020,23,Quintana Roo,35-39,79629,157040,155096,,4815
2020,23,Quintana Roo,40-44,67767,154289,150864,,5645
2020,23,Quintana Roo,45-49,57396,143416,138657,,6247
2020,24,San Luis Potosi,15-19,125380,13695,13636,,290
2020,24,San Luis Potosi,20-24,118430,69657,69548,,1549
2020,24,San Luis Potosi,25-29,114755,137815,137654,,3198
2020,24,San Luis Potosi,30-34,107413,191964,191125,,4532
2020,24,San Luis Potosi,35-39,101115,230257,227044,,6447
2020,24,San Luis Potosi,40-44,94691,247959,240180,,8375
2020,24,San Luis Potosi,45-49,88695,257379,244045,,10996
2020,25,Sinaloa,15-19,128922,14934,14881,,352
2020,25,Sinaloa,20-24,128936,75444,75344,,1577
2020,25,Sinaloa,25-29,118791,147678,147404,,3201
2020,25,Sinaloa,30-34,110157,204499,203369,,4739
2020,25,Sinaloa,35-39,104725,240056,237618,,6422
2020,25,Sinaloa,40-44,104283,265204,261408,,8457
2020,25,Sinaloa,45-49,98165,263559,258379,,10388
2020,26,Sonora,15-19,124735,14066,14022,,388
2020,26,Sonora,20-24,121235,77195,77127,,1989
2020,26,Sonora,25-29,113570,146912,146573,,3997
2020,26,Sonora,30-34,107425,202558,201376,,5754
2020,26,Sonora,35-39,103043,237553,234939,,7519
2020,26,Sonora,40-44,102219,259445,255235,,9279
2020,26,Sonora,45-49,95820,254931,249739,,10708
2020,27,Tabasco,15-19,103285,14034,14025,,316
2020,27,Tabasco,20-24,96595,69551,69450,,1425
2020,27,Tabasco,25-29,94873,129554,129139,,2959
